N_RIGA;ID_LIBRO;TITOLO;AUTORE;GENERE;ANNO_PUBBLICAZIONE;CASA_EDITRICE;ISBN;LINGUA;N_PAGINE;DISPONIBILE;DATA_INIZIO_PRESTITO;DATA_FINE_PRESTITO
60;LIB0060;La Misteriosa Fiamma della Regina Loana;Umberto Eco;Romanzo;1863;Bompiani;978-55-819-8434-9;Italiano;757;NO;2026-03-27;2026-06-25
61;LIB0061;Omaggio alla Catalogna;George Orwell;Memoir;1557;Mondadori;978-25-838-4155-0;Italiano;552;SI;NULL;NULL
62;LIB0062;I Figli di Dune;Frank Herbert;Fantascienza;1848;Fanucci;978-33-296-4545-1;Italiano;1493;SI;NULL;NULL
63;LIB0063;Alcools;Guillaume Apollinaire;Poesia;1583;Einaudi;978-77-711-5636-2;Italiano;1287;SI;NULL;NULL
64;LIB0064;Sula;Toni Morrison;Romanzo;1498;Frassinelli;978-39-469-3939-3;Italiano;686;SI;NULL;NULL
65;LIB0065;Morte a Venezia;Thomas Mann;Novella;1846;Corbaccio;978-45-146-1893-4;Italiano;339;SI;NULL;NULL
66;LIB0066;Birra nel Club degli Snob;Waguih Ghali;Romanzo;2014;Einaudi;978-91-989-9042-5;Italiano;338;NO;2026-03-09;2026-06-07
67;LIB0067;Opinioni di un Clown;Heinrich Böll;Romanzo;1312;Mondadori;978-46-580-8843-6;Italiano;1255;SI;NULL;NULL
68;LIB0068;Le Voci della Sera;Natalia Ginzburg;Romanzo;1488;Einaudi;978-42-982-8827-7;Italiano;185;NO;2026-02-17;2026-05-18
69;LIB0069;Dune;Frank Herbert;Fantascienza;1366;Fanucci;978-72-175-1878-8;Italiano;900;NO;2026-03-08;2026-06-06
70;LIB0070;Il Dio delle Piccole Cose;Arundhati Roy;Romanzo;1876;Guanda;978-20-354-2940-9;Italiano;702;SI;NULL;NULL
71;LIB0071;Giro di Vite;Henry James;Racconto gotico;1726;Einaudi;978-86-909-4697-0;Italiano;1321;SI;NULL;NULL
72;LIB0072;Inferno;Dan Brown;Thriller;1689;Mondadori;978-66-404-8025-1;Italiano;1002;SI;NULL;NULL
73;LIB0073;Il Trono di Spade;George R.R. Martin;Fantasy;1935;Mondadori;978-88-857-2625-2;Italiano;203;SI;NULL;NULL
74;LIB0074;Don Chisciotte della Mancia;Miguel de Cervantes;Romanzo;1512;Einaudi;978-37-370-2330-3;Italiano;1361;NO;2026-05-04;2026-08-02
75;LIB0075;La Fattoria degli Animali;George Orwell;Favola politica;1477;Mondadori;978-19-260-1043-4;Italiano;1210;SI;NULL;NULL
76;LIB0076;Fame;Knut Hamsun;Romanzo;2005;Mondadori;978-70-398-1534-5;Italiano;1296;NO;2026-02-25;2026-05-26
77;LIB0077;La Lentezza;Milan Kundera;Romanzo;2023;Adelphi;978-99-980-8438-6;Italiano;659;NO;2026-03-14;2026-06-12
78;LIB0078;Le Vergini Suicide;Jeffrey Eugenides;Romanzo;1539;Mondadori;978-90-703-4241-7;Italiano;621;SI;NULL;NULL
79;LIB0079;I Sommersi e i Salvati;Primo Levi;Saggio;1857;Einaudi;978-92-252-5352-8;Italiano;540;SI;NULL;NULL
80;LIB0080;I Viaggi di Gulliver;Jonathan Swift;Satira;1373;Einaudi;978-31-911-6039-9;Italiano;202;SI;NULL;NULL
81;LIB0081;Conversazione in Sicilia;Elio Vittorini;Romanzo;1882;Einaudi;978-66-227-8679-0;Italiano;671;SI;NULL;NULL
82;LIB0082;Il Silmarillion;J.R.R. Tolkien;Fantasy;2016;Bompiani;978-44-612-9847-1;Italiano;904;SI;NULL;NULL
83;LIB0083;Franny e Zooey;J.D. Salinger;Romanzo;1382;Einaudi;978-15-542-6280-2;Italiano;1304;SI;NULL;NULL
84;LIB0084;Il Mondo di Ieri;Stefan Zweig;Memoir;1326;Mondadori;978-39-790-1339-3;Italiano;267;SI;NULL;NULL
85;LIB0085;Il Processo;Franz Kafka;Romanzo esistenziale;1988;Einaudi;978-83-141-3870-4;Italiano;631;SI;NULL;NULL
86;LIB0086;Misery;Stephen King;Thriller;1967;Sperling & Kupfer;978-45-285-8141-5;Italiano;985;SI;NULL;NULL
87;LIB0087;Il Barone Rampante;Italo Calvino;Romanzo;1803;Einaudi;978-70-456-7690-6;Italiano;266;SI;NULL;NULL
88;LIB0088;Il Mio Nome è Rosso;Orhan Pamuk;Romanzo storico;1986;Einaudi;978-30-437-7744-7;Italiano;294;SI;NULL;NULL
89;LIB0089;Il Giro del Mondo in 80 Giorni;Jules Verne;Avventura;1595;Mondadori;978-61-933-1601-8;Italiano;1436;SI;NULL;NULL
90;LIB0090;Il Paese delle Nevi;Yasunari Kawabata;Romanzo;1622;Mondadori;978-51-218-7622-9;Italiano;596;SI;NULL;NULL
91;LIB0091;Il Mastino dei Baskerville;Arthur Conan Doyle;Giallo;1301;Newton Compton;978-79-573-7770-0;Italiano;1426;NO;2026-04-20;2026-07-19
92;LIB0092;Le Botteghe Color Cannella;Bruno Schulz;Racconti;1830;Einaudi;978-89-874-9167-1;Italiano;820;SI;NULL;NULL
93;LIB0093;La Storia;Elsa Morante;Romanzo;1352;Einaudi;978-44-662-3146-2;Italiano;496;SI;NULL;NULL
94;LIB0094;Siddharta;Hermann Hesse;Romanzo filosofico;1748;Adelphi;978-25-129-4920-3;Italiano;1072;SI;NULL;NULL
95;LIB0095;Aspettando Godot;Samuel Beckett;Teatro;1618;Einaudi;978-11-665-7684-4;Italiano;1208;NO;2026-03-23;2026-06-21
96;LIB0096;Senilità;Italo Svevo;Romanzo;1416;Einaudi;978-25-763-3522-5;Italiano;1025;SI;NULL;NULL
97;LIB0097;I Miserabili;Victor Hugo;Romanzo sociale;1598;Mondadori;978-44-525-8905-6;Italiano;1122;SI;NULL;NULL
98;LIB0098;L'Uomo Invisibile;H.G. Wells;Fantascienza;1549;Newton Compton;978-80-248-7284-7;Italiano;1015;NO;2026-02-26;2026-05-27
99;LIB0099;Rue des Boutiques Obscures;Patrick Modiano;Romanzo;1913;Einaudi;978-27-984-2143-8;Italiano;1120;NO;2026-03-01;2026-05-30
100;LIB0100;Uno Nessuno e Centomila;Luigi Pirandello;Romanzo;1724;Einaudi;978-74-373-1042-9;Italiano;776;NO;2026-04-18;2026-07-17
101;LIB0101;Anna Karenina;Lev Tolstoj;Romanzo;1605;Einaudi;978-84-775-9022-0;Italiano;1282;SI;NULL;NULL
102;LIB0102;Giuliano l'Apostata;Gore Vidal;Romanzo storico;1757;Fazi;978-71-453-6446-1;Italiano;1183;SI;NULL;NULL
103;LIB0103;L'Ultimo Uomo;Mary Shelley;Fantascienza;1856;Einaudi;978-68-429-4090-2;Italiano;852;SI;NULL;NULL
104;LIB0104;Suite Francese;Irène Némirovsky;Romanzo;1544;Adelphi;978-59-339-7730-3;Italiano;1251;NO;2026-03-29;2026-06-27
105;LIB0105;Sostiene Pereira;Antonio Tabucchi;Romanzo;1784;Feltrinelli;978-59-779-3492-4;Italiano;860;SI;NULL;NULL
106;LIB0106;La Gelosia;Alain Robbe-Grillet;Romanzo;1337;Einaudi;978-74-704-6439-5;Italiano;338;SI;NULL;NULL
107;LIB0107;Mentre Morivo;William Faulkner;Romanzo;1750;Adelphi;978-77-567-1251-6;Italiano;284;SI;NULL;NULL
108;LIB0108;Il Generale nel suo Labirinto;Gabriel García Márquez;Romanzo storico;1719;Feltrinelli;978-29-176-8692-7;Italiano;1420;SI;NULL;NULL
109;LIB0109;Lessico Famigliare;Natalia Ginzburg;Memoir;1571;Einaudi;978-89-809-7512-8;Italiano;773;SI;NULL;NULL
110;LIB0110;Neve;Orhan Pamuk;Romanzo;1636;Einaudi;978-78-489-6188-9;Italiano;1461;SI;NULL;NULL
111;LIB0111;Petali di Sangue;Ngũgĩ wa Thiong'o;Romanzo;1799;Einaudi;978-14-732-2121-0;Italiano;1188;NO;2026-03-27;2026-06-25
112;LIB0112;Il Lamento di Portnoy;Philip Roth;Romanzo;2000;Einaudi;978-39-864-2480-1;Italiano;668;SI;NULL;NULL
113;LIB0113;I Malavoglia;Giovanni Verga;Verismo;1400;Mondadori;978-22-554-3725-2;Italiano;1377;SI;NULL;NULL
114;LIB0114;La Promessa dell'Alba;Romain Gary;Memoir;1329;Neri Pozza;978-51-915-1919-3;Italiano;174;NO;2026-02-17;2026-05-18
115;LIB0115;Frankenstein;Mary Shelley;Horror gotico;1683;Einaudi;978-28-350-9702-4;Italiano;962;SI;NULL;NULL
116;LIB0116;La Pianista;Elfriede Jelinek;Romanzo;1998;Einaudi;978-31-279-2293-5;Italiano;448;SI;NULL;NULL
117;LIB0117;Viaggio al Centro della Terra;Jules Verne;Avventura;1691;Mondadori;978-97-346-9153-6;Italiano;1349;SI;NULL;NULL
118;LIB0118;Un Americano alla Corte di Re Artù;Mark Twain;Umorismo;1446;Mondadori;978-69-753-5161-7;Italiano;555;SI;NULL;NULL
119;LIB0119;Corri Coniglio;John Updike;Romanzo;1982;Einaudi;978-69-394-9955-8;Italiano;99;NO;2026-04-18;2026-07-17
120;LIB0120;L'Amica Geniale;Elena Ferrante;Romanzo;1752;Edizioni e/o;978-85-406-7951-9;Italiano;787;SI;NULL;NULL
121;LIB0121;La Gita a Tindari;Andrea Camilleri;Giallo;1767;Sellerio;978-35-493-8916-0;Italiano;698;NO;2026-04-26;2026-07-25
122;LIB0122;Canzoniere;Francesco Petrarca;Poesia;1690;Einaudi;978-55-688-5847-1;Italiano;1251;SI;NULL;NULL
123;LIB0123;Zibaldone;Giacomo Leopardi;Diario filosofico;1602;Mondadori;978-94-505-5497-2;Italiano;124;NO;2026-03-17;2026-06-15
124;LIB0124;Il Visconte Dimezzato;Italo Calvino;Romanzo;2002;Einaudi;978-87-863-9138-3;Italiano;180;SI;NULL;NULL
125;LIB0125;Una Stagione all'Inferno;Arthur Rimbaud;Poesia;1593;Einaudi;978-87-921-6772-4;Italiano;551;NO;2026-02-20;2026-05-21
126;LIB0126;L'Orgia Perpetua;Vargas Llosa;Saggio;1494;Einaudi;978-42-794-3240-5;Italiano;1351;SI;NULL;NULL
127;LIB0127;Il Consiglio d'Egitto;Leonardo Sciascia;Romanzo storico;1942;Einaudi;978-15-416-8222-6;Italiano;1403;NO;2026-04-23;2026-07-22
128;LIB0128;Il Giovane Holden;J.D. Salinger;Romanzo di formazione;1673;Einaudi;978-21-402-6352-7;Italiano;349;SI;NULL;NULL
129;LIB0129;La Quarta Prosa;Osip Mandel'stam;Memoir;1479;Adelphi;978-26-905-9837-8;Italiano;491;SI;NULL;NULL
130;LIB0130;Sei Personaggi in Cerca d'Autore;Luigi Pirandello;Teatro;1674;Einaudi;978-74-379-3695-9;Italiano;1167;NO;2026-03-04;2026-06-02
131;LIB0131;Foglie d'Erba;Walt Whitman;Poesia;1793;Einaudi;978-53-923-2886-0;Italiano;684;SI;NULL;NULL
132;LIB0132;Storia del Nuovo Cognome;Elena Ferrante;Romanzo;1377;Edizioni e/o;978-38-980-7511-1;Italiano;368;SI;NULL;NULL
133;LIB0133;Testimone d'Accusa;Agatha Christie;Giallo;1870;Mondadori;978-21-909-7464-2;Italiano;829;NO;2026-04-02;2026-07-01
134;LIB0134;Il Diavolo a Goiás;João Guimarães Rosa;Racconti;1849;Einaudi;978-68-477-5295-3;Italiano;333;SI;NULL;NULL
135;LIB0135;La Caduta;Albert Camus;Romanzo;1953;Bompiani;978-23-791-4830-4;Italiano;840;SI;NULL;NULL
136;LIB0136;I Falsari;André Gide;Romanzo;1934;Einaudi;978-51-724-4626-5;Italiano;1229;SI;NULL;NULL
137;LIB0137;Nana;Émile Zola;Naturalismo;1950;Einaudi;978-99-409-7689-6;Italiano;1030;NO;2026-05-05;2026-08-03
138;LIB0138;Una Storia di Amore e di Tenebra;Amos Oz;Memoir;1346;Feltrinelli;978-48-604-2902-7;Italiano;156;NO;2026-03-09;2026-06-07
139;LIB0139;Il Giorno della Civetta;Leonardo Sciascia;Giallo;1850;Einaudi;978-59-564-7078-8;Italiano;357;SI;NULL;NULL
140;LIB0140;Ti Prendo e Ti Porto Via;Niccolò Ammaniti;Romanzo;2013;Mondadori;978-63-701-3531-9;Italiano;1186;SI;NULL;NULL
141;LIB0141;Arcipelago Gulag;Alexander Solzhenitsyn;Memoir;1970;Mondadori;978-72-730-7686-0;Italiano;282;SI;NULL;NULL
142;LIB0142;Cronaca di una Morte Annunciata;Gabriel García Márquez;Romanzo;1586;Feltrinelli;978-98-479-4559-1;Italiano;147;SI;NULL;NULL
143;LIB0143;L'Immortalità;Milan Kundera;Romanzo;1541;Adelphi;978-22-802-7018-2;Italiano;822;SI;NULL;NULL
144;LIB0144;2666;Roberto Bolaño;Romanzo;1960;Adelphi;978-17-507-5520-3;Italiano;814;NO;2026-02-18;2026-05-19
145;LIB0145;Il Segno dei Quattro;Arthur Conan Doyle;Giallo;1425;Newton Compton;978-21-778-4475-4;Italiano;1011;SI;NULL;NULL
146;LIB0146;Il Generale dell'Armata Morta;Ismail Kadare;Romanzo;1911;Longanesi;978-16-905-6464-5;Italiano;123;NO;2026-05-04;2026-08-02
147;LIB0147;La Mela nel Buio;Clarice Lispector;Romanzo;1428;Adelphi;978-36-170-4394-6;Italiano;1236;SI;NULL;NULL
148;LIB0148;Ragione e Sentimento;Jane Austen;Romanzo sentimentale;1538;Newton Compton;978-28-907-1046-7;Italiano;752;NO;2026-03-16;2026-06-14
149;LIB0149;La Pelle di Zigrino;Honoré de Balzac;Romanzo fantastico;1448;Einaudi;978-79-356-3858-8;Italiano;346;NO;2026-04-05;2026-07-04
150;LIB0150;Dalla Terra alla Luna;Jules Verne;Fantascienza;1326;Mondadori;978-11-466-4898-9;Italiano;349;SI;NULL;NULL
151;LIB0151;Cronache di Poveri Amanti;Vasco Pratolini;Romanzo;1316;Mondadori;978-43-153-3076-0;Italiano;436;SI;NULL;NULL
152;LIB0152;Il Giardino dei Finzi-Contini;Giorgio Bassani;Romanzo;1838;Einaudi;978-18-587-8344-1;Italiano;312;SI;NULL;NULL
153;LIB0153;La Lettera Scarlatta;Nathaniel Hawthorne;Romanzo;1825;Einaudi;978-23-562-9254-2;Italiano;1295;NO;2026-03-25;2026-06-23
154;LIB0154;Estetica;Benedetto Croce;Saggio filosofico;1929;Laterza;978-94-633-5941-3;Italiano;168;SI;NULL;NULL
155;LIB0155;La Signora nel Lago;Agatha Christie;Giallo;1331;Mondadori;978-71-967-7580-4;Italiano;204;SI;NULL;NULL
156;LIB0156;It;Stephen King;Horror;1410;Sperling & Kupfer;978-66-175-2323-5;Italiano;1084;SI;NULL;NULL
157;LIB0157;Il Cane di Terracotta;Andrea Camilleri;Giallo;1451;Sellerio;978-26-381-9984-6;Italiano;214;SI;NULL;NULL
158;LIB0158;Furore;John Steinbeck;Romanzo sociale;1690;Mondadori;978-77-401-8433-7;Italiano;1303;SI;NULL;NULL
159;LIB0159;I Detective Selvaggi;Roberto Bolaño;Romanzo;1740;Adelphi;978-99-217-4522-8;Italiano;283;SI;NULL;NULL
160;LIB0160;Lo Scherzo;Milan Kundera;Romanzo;1533;Adelphi;978-53-947-8430-9;Italiano;927;SI;NULL;NULL
161;LIB0161;Il Vangelo secondo Gesù Cristo;José Saramago;Romanzo;1397;Einaudi;978-64-420-5176-0;Italiano;720;SI;NULL;NULL
162;LIB0162;L'Idiota;Fëdor Dostoevskij;Romanzo;1456;Einaudi;978-70-168-2494-1;Italiano;1486;SI;NULL;NULL
163;LIB0163;Il Visconte di Bragelonne;Alexandre Dumas;Avventura;1395;Newton Compton;978-22-862-7105-2;Italiano;964;SI;NULL;NULL
164;LIB0164;Qualcuno Volò sul Nido del Cuculo;Ken Kesey;Romanzo;1869;Mondadori;978-85-675-6400-3;Italiano;202;SI;NULL;NULL
165;LIB0165;Kafka sulla Spiaggia;Haruki Murakami;Romanzo;1720;Einaudi;978-95-868-7929-4;Italiano;804;SI;NULL;NULL
166;LIB0166;Guerra e Pace;Lev Tolstoj;Romanzo storico;1352;Einaudi;978-86-419-6761-5;Italiano;669;NO;2026-05-10;2026-08-08
167;LIB0167;La Tempesta di Spade;George R.R. Martin;Fantasy;1819;Mondadori;978-29-772-8900-6;Italiano;515;NO;2026-04-11;2026-07-10
168;LIB0168;Bestiario;Julio Cortázar;Racconti;1410;Einaudi;978-81-476-2882-7;Italiano;797;SI;NULL;NULL
169;LIB0169;Zanna Bianca;Jack London;Avventura;1887;Newton Compton;978-64-965-1430-8;Italiano;543;SI;NULL;NULL
170;LIB0170;Meridiano di Sangue;Cormac McCarthy;Romanzo;1973;Einaudi;978-13-284-5477-9;Italiano;627;SI;NULL;NULL
171;LIB0171;Il Crimine del Padre Amaro;Eça de Queirós;Realismo;1616;Einaudi;978-54-106-3972-0;Italiano;775;SI;NULL;NULL
172;LIB0172;Cime Tempestose;Emily Brontë;Romanzo gotico;1879;Newton Compton;978-61-171-3324-1;Italiano;1426;SI;NULL;NULL
173;LIB0173;Pinocchio;Carlo Collodi;Fiaba;1331;Giunti;978-77-320-7163-2;Italiano;267;SI;NULL;NULL
174;LIB0174;Canti;Giacomo Leopardi;Poesia;1649;Mondadori;978-57-419-6314-3;Italiano;402;SI;NULL;NULL
175;LIB0175;Se una Notte d'Inverno un Viaggiatore;Italo Calvino;Postmoderno;1881;Einaudi;978-20-153-3549-4;Italiano;1301;NO;2026-03-05;2026-06-03
176;LIB0176;Harry Potter e la Camera dei Segreti;J.K. Rowling;Fantasy;1932;Salani;978-96-183-5458-5;Italiano;181;SI;NULL;NULL
177;LIB0177;Il Tamburo di Latta;Günter Grass;Romanzo;1734;Einaudi;978-87-552-7785-6;Italiano;1074;NO;2026-05-15;2026-08-13
178;LIB0178;Il Gioco del Rovescio;Antonio Tabucchi;Racconti;1824;Feltrinelli;978-54-540-2816-7;Italiano;313;NO;2026-03-22;2026-06-20
179;LIB0179;Giorno dopo Giorno;Salvatore Quasimodo;Poesia;1994;Mondadori;978-72-639-6053-8;Italiano;1294;NO;2026-04-19;2026-07-18
180;LIB0180;Il Demone Meschino;Fyodor Sologub;Romanzo;1704;Adelphi;978-17-107-4349-9;Italiano;1307;SI;NULL;NULL
181;LIB0181;Ragazzi di Vita;Pier Paolo Pasolini;Romanzo;1516;Garzanti;978-42-396-6375-0;Italiano;361;NO;2026-03-30;2026-06-28
182;LIB0182;Il Lettore;Bernhard Schlink;Romanzo;1809;Garzanti;978-32-232-7229-1;Italiano;961;SI;NULL;NULL
183;LIB0183;Il Grande Gatsby;F. Scott Fitzgerald;Romanzo;1535;Mondadori;978-81-953-6802-2;Italiano;1104;NO;2026-03-08;2026-06-06
184;LIB0184;La Ciociara;Alberto Moravia;Romanzo;1343;Bompiani;978-12-570-2275-3;Italiano;973;SI;NULL;NULL
185;LIB0185;Casa di Bambola;Henrik Ibsen;Teatro;1889;Einaudi;978-83-514-7843-4;Italiano;959;NO;2026-05-05;2026-08-03
186;LIB0186;La Spada del Destino;Andrzej Sapkowski;Fantasy;1714;Mondadori;978-51-275-8538-5;Italiano;122;SI;NULL;NULL
